Month,Day,Time,Wind Spd (km/h),Stn Press (kPa),Wind Chill
1,1,0,14,97.29,4.5
1,1,1,7,97.32,4.4
1,1,2,35,97.54,2.4
1,1,3,29,97.89,2.2
1,1,4,30,98.16,1.9
1,1,5,36,98.51,2.6
1,1,6,36,98.78,1.6
1,1,7,27,99.04,1.3
1,1,8,28,99.34,1.1
1,1,9,22,99.6,0.5
1,1,10,30,99.67,-6
1,1,11,28,99.77,-8
1,1,12,28,99.82,-8
1,1,13,29,99.92,-7
1,1,14,30,99.96,-7
1,1,15,25,100.1,-8
1,1,16,23,100.15,-9
1,1,17,24,100.26,-11
1,1,18,20,100.31,-12
1,1,19,19,100.4,-13
1,1,20,17,100.42,-13
1,1,21,18,100.45,-14
1,1,22,17,100.43,-14
1,1,23,15,100.4,-14
1,2,0,16,100.44,-14
1,2,1,18,100.43,-15
1,2,2,15,100.5,-14
1,2,3,10,100.57,-13
1,2,4,10,100.6,-13
1,2,5,11,100.54,-14
1,2,6,11,100.55,-14
1,2,7,5,100.59,-12
1,2,8,13,100.59,-15
1,2,9,7,100.64,-12
1,2,10,5,100.57,-10
1,2,11,4,100.53,-9
1,2,12,5,100.39,-9
1,2,13,5,100.22,-8
1,2,14,11,100.16,-9
1,2,15,11,99.98,-9
1,2,16,17,99.79,-10
1,2,17,9,99.73,-7
1,2,18,10,99.64,-7
1,2,19,7,99.52,-5
1,2,20,10,99.42,-5
1,2,21,10,99.27,-5
1,2,22,13,99.11,-5
1,2,23,7,99,-3
1,3,0,5,98.9,-2
1,3,1,8,98.92,-4
1,3,2,15,98.98,-7
1,3,3,17,99.08,-7
1,3,4,21,99.08,-7
1,3,5,22,99.12,-6
1,3,6,21,99.17,-6
1,3,7,32,99.27,-7
1,3,8,30,99.36,-7
1,3,9,19,99.43,-6
1,3,10,22,99.44,-7
1,3,11,20,99.4,-6
1,3,12,24,99.29,-7
1,3,13,23,99.28,-6
1,3,14,30,99.24,-7
1,3,15,25,99.21,-6
1,3,16,22,99.22,0.1
1,3,17,19,99.23,-5
1,3,18,17,99.2,0.3
1,3,19,16,99.27,0.2
1,3,20,19,99.24,0.2
1,3,21,20,99.11,-5
1,3,22,13,99.1,-4
1,3,23,25,99.03,0.4
1,4,0,31,98.94,0.6
1,4,1,34,98.92,0.8
1,4,2,24,98.93,0.2
1,4,3,25,98.88,0.1
1,4,4,28,98.82,0.2
1,4,5,30,98.74,0.2
1,4,6,32,98.69,0.2
1,4,7,36,98.66,0.6
1,4,8,26,98.73,0.7
1,4,9,35,98.7,1.5
1,4,10,28,98.77,2.5
1,4,11,28,98.69,3.6
1,4,12,24,98.61,5.3
1,4,13,25,98.54,6.6
1,4,14,22,98.48,7.7
1,4,15,20,98.45,7.6
1,4,16,18,98.44,6.8
1,4,17,14,98.47,4.8
1,4,18,16,98.49,3.3
1,4,19,15,98.49,3
1,4,20,11,98.49,3.7
1,4,21,8,98.51,2.4
1,4,22,16,98.48,1.5
1,4,23,9,98.44,-3
1,5,0,11,98.36,0.2
1,5,1,12,98.31,-5
1,5,2,13,98.31,-5
1,5,3,13,98.33,-5
1,5,4,10,98.33,-5
1,5,5,14,98.33,0.2
1,5,6,17,98.39,0.7
1,5,7,14,98.43,1.2
1,5,8,14,98.42,1.4
1,5,9,20,98.48,1.7
1,5,10,9,98.53,1.9
1,5,11,6,98.53,2.1
1,5,12,8,98.51,2.6
1,5,13,12,98.5,3
1,5,14,17,98.5,3
1,5,15,15,98.59,3
1,5,16,11,98.58,2.4
1,5,17,13,98.58,1.3
1,5,18,14,98.61,0.1
1,5,19,18,98.63,0.9
1,5,20,12,98.62,1.1
1,5,21,13,98.67,1.4
1,5,22,16,98.62,1.8
1,5,23,16,98.61,2.2
1,6,0,13,98.62,2.8
1,6,1,23,98.69,3.9
1,6,2,21,98.84,3.6
1,6,3,20,98.95,3.5
1,6,4,26,99.07,3
1,6,5,35,99.2,1.8
1,6,6,26,99.37,1.6
1,6,7,16,99.51,1.8
1,6,8,13,99.64,1.4
1,6,9,23,99.81,0.7
1,6,10,23,99.97,0.5
1,6,11,30,100.08,0.3
1,6,12,31,100.13,0.6
1,6,13,22,100.17,-6
1,6,14,26,100.29,-7
1,6,15,30,100.41,-8
1,6,16,33,100.54,-9
1,6,17,32,100.64,-11
1,6,18,25,100.76,-10
1,6,19,23,100.85,-10
1,6,20,22,100.94,-12
1,6,21,20,101.01,-13
1,6,22,16,101.05,-12
1,6,23,17,101.07,-13
1,7,0,14,101.07,-12
1,7,1,11,101.08,-12
1,7,2,9,101.1,-12
1,7,3,10,101.12,-13
1,7,4,14,101.05,-15
1,7,5,17,100.99,-14
1,7,6,14,101.04,-13
1,7,7,21,101.01,-14
1,7,8,18,100.94,-10
1,7,9,22,100.98,-11
1,7,10,34,100.79,-12
1,7,11,30,100.71,-11
1,7,12,28,100.47,-11
1,7,13,34,100.22,-12
1,7,14,19,99.97,-10
1,7,15,37,99.87,-11
1,7,16,36,99.55,-10
1,7,17,33,99.33,-9
1,7,18,27,99.03,-8
1,7,19,23,98.95,-6
1,7,20,23,98.76,0.7
1,7,21,22,98.63,0.6
1,7,22,16,98.48,1.1
1,7,23,10,98.43,2.2
1,8,0,7,98.33,2.8
1,8,1,20,98.26,5.7
1,8,2,23,98.35,7.1
1,8,3,30,98.39,8
1,8,4,33,98.46,7.5
1,8,5,17,98.6,4.4
1,8,6,22,98.69,4
1,8,7,20,98.77,4.8
1,8,8,14,98.66,4.4
1,8,9,6,98.76,4.9
1,8,10,7,98.68,5.4
1,8,11,9,98.54,5.5
1,8,12,3,98.44,5.6
1,8,13,9,98.33,5.4
1,8,14,9,98.28,5.4
1,8,15,9,98.2,4.9
1,8,16,5,98.2,4.9
1,8,17,1,98.15,4.3
1,8,18,7,98.03,4.5
1,8,19,4,98,4.3
1,8,20,9,98.05,4.4
1,8,21,10,98.05,4
1,8,22,23,98.07,3.8
1,8,23,20,98.14,3.4
1,9,0,25,98.19,2.8
1,9,1,18,98.26,2.4
1,9,2,18,98.33,1.6
1,9,3,24,98.4,2
1,9,4,39,98.44,0.9
1,9,5,27,98.5,0.4
1,9,6,22,98.53,0.1
1,9,7,29,98.57,0.1
1,9,8,28,98.64,-7
1,9,9,33,98.71,-8
1,9,10,32,98.75,-8
